エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZW_FO_AZUKARIKIN_SIHA","フルオペ預り金支払データワーク","覚書・支払
※経理出納日報、フルオペ預り金支払申請で使用するワーク","fsol12","2011/01/28 19:34:19","lpa00","2011/03/25 13:14:19"
"ZW_HUTAN_INFO","負担情報ワーク","覚書・支払・流通リベート","fsol07","2011/01/25 20:32:53","fsol07","2011/03/08 20:32:55"
"ZW_KSRPT_SINSEI_MEI","経費出納日報申請データ_明細ワーク","覚書・支払","lpa00","2011/03/09 10:12:54","fsol12","2011/04/05 19:32:11"
"ZW_MAEBARAIHIYOU_ITIRAN","前払費用一覧帳票ワーク","覚書・支払","fsol07","2011/01/26 09:06:44","fsol07","2011/03/08 20:33:09"
"ZW_TEIZIC_SINSEI_MEI1","覚書支払申請データ_明細1ワーク","覚書・支払","lpa03","2011/03/18 17:07:21","fsol12","2011/04/05 19:32:20"
"ZW_TEIZIC_SINSEI_MEI2","覚書支払申請データ_明細2ワーク","覚書・支払","lpa03","2011/03/18 17:27:46","fsol12","2011/04/05 19:32:31"
"ZW_TEIZIC_SINSEI_MEI3","覚書支払申請データ_明細3ワーク","覚書・支払","lpa03","2011/03/18 17:32:51","fsol12","2011/04/05 19:32:26"
"ZW_TEIZIR_SINSEI_MEI1","流通リベート支払申請データ_明細1ワーク","流通リベート","lpa00","2011/03/09 10:00:58","fsol12","2011/04/05 19:32:49"
"ZW_TEIZIR_SINSEI_MEI2","流通リベート支払申請データ_明細2ワーク","流通リベート","lpa00","2011/03/09 10:02:49","fsol12","2011/04/05 19:32:56"
"ZW_TEIZIR_SINSEI_MEI3","流通リベート支払申請データ_明細3ワーク","流通リベート","lpa00","2011/03/09 10:03:16","fsol12","2011/04/05 19:33:01"
"ZW_TEIZIR_SINSEI_TANBUN","流通リベート支払申請データ_按分得意先ワーク","流通リベート","lpa00","2011/03/09 10:07:51","fsol12","2011/04/05 19:33:07"
"ZW_WF_PRT_KYOUTU","WF印刷共通ワーク","共通（WF印刷共通）","fsol07","2011/01/19 12:22:20","fsol07","2011/03/08 20:33:16"
"ZM_YH_KAMOKU","大同薬品科目マスタ","大同薬品工業","fsol20","2009/02/09 14:32:42","fsol20","2009/02/26 17:09:50"
"ZM_YH_SAIMOKU","大同薬品細目マスタ","大同薬品工業","fsol20","2009/02/09 14:27:13","fsol20","2009/02/28 16:29:32"
"ZM_YH_SYOUHIN","薬品購入商品マスタ","大同薬品工業
","fsol20","2009/02/09 13:26:26","fsol20","2009/02/26 17:21:18"
"ZT_MIHARAI_ZANDAKA","未払金残高テーブル","大同薬品工業","fsol20","2009/02/09 13:57:00","fsol20","2009/02/26 17:08:37"
"ZT_NOUHIN_MEI","納品書明細テーブル","大同薬品工業","fsol20","2009/02/09 14:24:30","fsol20","2009/04/09 21:29:14"
"ZT_SEIKYU_KAKUTEI","請求確定テーブル","大同薬品工業","fsol20","2009/02/09 15:43:03","fsol20","2009/04/09 21:30:42"
"ZV_CD_BUSYO03","部署コードビュー03","大同薬品工業","fsol20","2009/02/10 09:39:23","fsol20","2009/03/02 10:39:52"
"ZV_CD_DENPYOU_KBN01","伝票区分コードビュー01","大同薬品工業","fsol20","2009/02/10 09:40:48","fsol20","2009/02/10 09:40:48"
"ZV_CD_KAMOKU_SAIMOKU01","科目細目コードビュー01","大同薬品工業","fsol20","2009/02/10 09:42:29","fsol20","2009/02/12 19:27:12"
"ZV_CD_KAMOKU01","科目コードビュー01","大同薬品工業","fsol20","2009/02/10 09:43:35","fsol20","2009/02/12 19:26:14"
"ZV_CD_KASIKATA_SAIMOKU01","貸方細目コードビュー01","大同薬品工業","fsol20","2009/02/10 09:55:47","fsol20","2009/02/10 09:55:47"
"ZV_CD_NOUHIN_MEI01","納品書明細コードビュー01","大同薬品工業","fsol20","2009/02/09 16:10:52","fsol20","2009/04/06 10:27:51"
"ZV_CD_TANI01","単位コードビュー01","大同薬品工業","fsol20","2009/02/10 09:47:12","fsol20","2009/02/10 09:47:12"
"ZV_CD_TORIHIKI_INFO01","取引先情報参照コードビュー01","大同薬品工業","fsol20","2009/02/10 09:50:21","fsol20","2009/03/02 10:27:36"
"ZV_CD_YH_SYOUHIN01","薬品購入商品コードビュー01","大同薬品工業","fsol20","2009/02/10 09:46:06","fsol20","2009/02/16 20:19:28"
"ZM_YAKU_CD_HENKOU","役職コード変更マスタ","","sis04","2011/02/02 13:27:02","sis04","2011/02/02 13:27:02"
"ZT_WARN_MSG","Warningメッセージ監視テーブル","","lpa04","2009/10/06 14:40:32","lpa04","2009/11/06 19:47:03"
"ZV_CD_CHAIN01","チェーンコードビュー01","","lpa00","2011/03/09 15:30:51","lpa00","2011/03/10 10:39:43"
"ZV_CD_HAISOU_SAKI01","配送先コードビュー01","","lpa00","2011/03/09 15:35:00","lpa00","2011/03/09 16:02:44"
"ZV_CD_KAMOKU_SAIMOKU03","科目細目コードビュー03","","lpa00","2011/03/09 15:35:53","lpa00","2011/03/10 11:30:45"
"ZV_CD_KAMOKU03","科目コードビュー03","","lpa00","2011/03/09 15:35:25","lpa00","2011/03/10 11:31:00"
"ZV_CD_KIGYOU_101","企業１コードビュー01","","lpa00","2011/03/09 15:36:23","lpa00","2011/03/09 16:11:14"
"ZV_CD_KIGYOU_2_GRP01","企業２グループコードビュー01","","lpa00","2011/03/09 15:36:11","lpa00","2011/03/09 16:12:37"
"ZV_CD_KIGYOU_201","企業２コードビュー01","","lpa00","2011/03/09 15:36:39","lpa00","2011/03/09 16:13:49"
"ZV_CD_MEISYOU02","名称コードビュー02","","lpa04","2010/06/08 17:11:25","lpa04","2010/06/08 17:11:25"
"ZV_CD_MISYU_SEIKYU_MOTO01","未収請求元コードビュー01","","lpa00","2011/03/09 15:36:53","lpa00","2011/03/10 10:40:23"
"ZV_CD_OBOEGAKI_HMK01","費目コードビュー01","","lpa00","2011/03/09 15:37:17","lpa00","2011/03/09 16:22:17"
"ZV_CD_OBOEGAKI01","覚書コードビュー01","","lpa00","2011/03/09 15:37:05","lpa00","2011/03/22 09:46:35"
"ZV_CD_RYOHI_KARI_SYAIN01","旅費仮払社員コードビュー01","","lpa00","2011/03/09 15:37:40","lpa00","2011/03/24 16:29:13"
"ZV_CD_RYUTU_REBATE_ZKN01","流通リベート条件コードビュー01","","lpa00","2011/03/09 15:38:04","lpa00","2011/03/22 10:05:02"
"ZV_CD_SEIKYU_SIHA_TAIOU01","請求先支払先対応コードビュー01","","lpa00","2011/03/09 15:38:16","lpa00","2011/03/09 16:48:37"
"ZV_CD_SIHA02","支払先コードビュー02","","lpa00","2011/03/09 15:38:40","lpa00","2011/03/25 13:05:47"
"ZV_CD_SYOUHIN01","商品コードビュー01","","lpa00","2011/03/10 10:32:18","lpa00","2011/03/22 09:50:28"
"ZV_CD_TEIZI_K_BARAI01","定時固定払コードビュー01","","lpa00","2011/03/09 15:38:55","lpa00","2011/03/22 09:47:13"
"ZV_CD_TEIZI_S_BARAI01","定時請求払コードビュー01","","lpa00","2011/03/09 15:40:01","lpa00","2011/03/22 09:47:35"
"ZV_CD_TOK06","得意先コードビュー06","","lpa00","2011/03/10 09:01:09","lpa00","2011/03/22 09:49:29"
"ZV_CD_TRHK_SIHA_TAIOU01","取引先支払先対応コードビュー01","","lpa00","2011/03/09 15:49:22","lpa00","2011/03/09 17:12:04"
"ZV_CD_TYOUAI_SAKI01","帳合先コードビュー01","","lpa00","2011/03/09 15:50:54","lpa00","2011/03/09 17:15:18"
"ZV_CD_ZYOUI_TYOUAI_SAKI01","上位帳合先コードビュー01","","lpa00","2011/03/09 15:51:15","lpa00","2011/03/31 16:18:50"
"ZV_OBOEGAKI_INFO_HED","覚書情報ヘッダビュー","","lpa00","2011/03/09 09:56:36","fsol07","2011/04/06 15:31:51"
